Latitude: 32.2299  Longitude: -110.9403
X & Y on Lambert Conformal Conic: -998128.12 -1028390.35
Tile: 11015
Elevation: 748 meters
All years; all variables; Daymet Software Version 3.0; Daymet Data Version 3.0.
How to cite: Thornton; P.E.; M.M. Thornton; B.W. Mayer; Y. Wei; R. Devarakonda; R.S. Vose; and R.B. Cook. 2016. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 3. ORNL DAAC; Oak Ridge; Tennessee; USA. http://dx.doi.org/10.3334/ORNLDAAC/1328

year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
1986,90,44237,0.00,409.60,0.00,30.50,15.50,1360.00
1986,91,44582,0.00,332.80,0.00,28.50,17.00,1680.00
1986,92,44582,0.00,368.00,0.00,26.00,13.50,1280.00
1986,93,44582,0.00,512.00,0.00,23.50,4.00,560.00
1986,94,44928,0.00,518.40,0.00,25.00,5.00,600.00
1986,95,44928,0.00,515.20,0.00,28.00,8.00,720.00
1986,96,44928,0.00,438.40,0.00,28.50,13.00,1120.00
1986,97,45274,0.00,390.40,0.00,26.00,13.00,1200.00
1986,98,45274,0.00,448.00,0.00,27.00,11.50,1000.00
1986,99,45274,0.00,537.60,0.00,29.00,7.50,640.00
1986,100,45619,0.00,531.20,0.00,29.00,8.00,680.00
1986,101,45619,0.00,524.80,0.00,29.00,8.50,720.00
1986,102,45619,0.00,470.40,0.00,30.50,13.00,1040.00
1986,103,45965,0.00,419.20,0.00,29.50,14.50,1240.00
1986,104,45965,0.00,540.80,0.00,29.50,7.50,640.00
1986,105,45965,0.00,502.40,0.00,31.50,12.00,920.00
1986,106,46310,0.00,393.60,0.00,30.00,16.00,1400.00
1986,107,46310,0.00,457.60,0.00,25.50,9.00,840.00
1986,108,46310,0.00,505.60,0.00,24.50,5.50,600.00
1986,109,46656,0.00,540.80,0.00,27.00,5.50,560.00
1986,110,46656,0.00,547.20,0.00,30.00,7.50,640.00
1986,111,46656,0.00,553.60,0.00,33.50,10.00,720.00
1986,112,47002,0.00,505.60,0.00,33.50,13.50,960.00
1986,113,47002,0.00,425.60,0.00,32.00,16.50,1360.00
1986,114,47002,0.00,435.20,0.00,30.50,15.00,1200.00
1986,115,47347,0.00,403.20,0.00,29.50,15.50,1320.00
1986,116,47347,0.00,419.20,0.00,30.00,15.50,1280.00
1986,117,47347,0.00,544.00,0.00,30.00,9.00,680.00
1986,118,47693,0.00,540.80,0.00,31.50,10.50,760.00
1986,119,47693,0.00,448.00,0.00,32.50,16.50,1280.00
1986,120,47693,0.00,457.60,0.00,33.00,16.50,1240.00
1986,121,47693,0.00,518.40,0.00,34.00,14.00,960.00
1986,122,48038,0.00,480.00,0.00,36.00,18.00,1200.00
1986,123,48038,0.00,528.00,0.00,37.00,16.50,800.00
1986,124,48038,0.00,515.20,0.00,35.00,16.00,680.00
1986,125,48384,0.00,560.00,0.00,32.00,10.50,480.00
1986,126,48384,0.00,537.60,0.00,31.00,11.00,480.00
1986,127,48384,0.00,457.60,0.00,27.50,12.00,600.00
1986,128,48384,0.00,502.40,0.00,24.00,6.50,400.00
1986,129,48730,0.00,531.20,0.00,26.50,7.50,360.00
1986,130,48730,0.00,553.60,0.00,30.50,9.50,440.00
1986,131,48730,0.00,556.80,0.00,33.00,11.50,480.00
1986,132,48730,0.00,556.80,0.00,34.00,12.50,520.00
1986,133,49075,0.00,560.00,0.00,34.00,12.00,520.00
1986,134,49075,0.00,560.00,0.00,33.50,11.50,480.00
1986,135,49075,0.00,540.80,0.00,33.50,13.00,560.00
1986,136,49075,0.00,531.20,0.00,33.00,13.00,560.00
1986,137,49421,0.00,441.60,0.00,31.50,16.50,720.00
1986,138,49421,0.00,524.80,0.00,33.00,13.50,560.00
1986,139,49421,0.00,502.40,0.00,37.00,18.50,800.00
1986,140,49421,0.00,553.60,0.00,38.50,16.50,720.00
1986,141,49766,0.00,512.00,0.00,37.00,18.00,800.00
1986,142,49766,0.00,473.60,0.00,35.00,18.50,800.00
1986,143,49766,0.00,489.60,0.00,35.50,18.00,800.00
1986,144,49766,0.00,480.00,0.00,35.50,18.50,800.00
1986,145,49766,0.00,534.40,0.00,37.50,17.00,720.00
1986,146,50112,0.00,550.40,0.00,38.00,16.00,680.00
1986,147,50112,0.00,531.20,0.00,38.00,17.50,760.00
1986,148,50112,0.00,521.60,0.00,38.00,18.00,800.00
1986,149,50112,0.00,470.40,0.00,37.50,20.50,920.00
1986,150,50112,4.00,355.20,0.00,36.00,19.00,840.00
1986,151,50112,5.00,364.80,0.00,34.50,17.00,720.00
1986,152,50458,0.00,467.20,0.00,35.00,18.50,800.00
1986,153,50458,0.00,467.20,0.00,36.00,19.50,880.00
1986,154,50458,0.00,457.60,0.00,35.50,19.50,880.00
1986,155,50458,0.00,457.60,0.00,37.00,21.00,960.00
1986,156,50458,0.00,435.20,0.00,37.50,22.50,1040.00
1986,157,50458,0.00,460.80,0.00,37.00,21.00,960.00
1986,158,50458,0.00,515.20,0.00,37.50,18.50,800.00
1986,159,50458,0.00,508.80,0.00,37.00,18.50,800.00
1986,160,50458,0.00,521.60,0.00,35.50,16.50,720.00
1986,161,50803,0.00,512.00,0.00,36.00,17.50,760.00
1986,162,50803,0.00,553.60,0.00,38.00,16.50,720.00
1986,163,50803,0.00,553.60,0.00,40.50,18.50,800.00
