Year,Month,Day,T_max,T_min,Precip (mm),T_ave,Precip (cm),rh_ave
1980,1,2,17.5,-1.0,0.0,8.25,0.0,22.175239797
1980,1,3,16.0,-3.5,0.0,6.25,0.0,21.1609031414
1980,1,11,10.5,6.0,7.0,8.25,0.7,85.0050858884
1980,1,12,16.0,4.0,0.0,10.0,0.0,52.605133974
1980,1,13,19.0,4.5,0.0,11.75,0.0,35.1483534769
1980,1,14,20.0,5.0,0.0,12.5,0.0,33.4646058522
1980,1,15,16.5,3.0,6.0,9.75,0.6,46.8011037836
1980,1,16,15.5,1.0,0.0,8.25,0.0,33.2628596955
1980,1,17,16.0,0.0,0.0,8.0,0.0,30.0688723118
1980,1,18,14.5,5.0,6.0,9.75,0.6,63.5157837063
1980,1,19,12.5,2.5,7.0,7.5,0.7,66.089935082
1980,1,20,12.0,-2.0,3.0,5.0,0.3,55.3292606559
1980,1,21,10.0,1.5,9.0,5.75,0.9,74.4486523561
1980,1,22,8.5,-1.0,5.0,3.75,0.5,70.3796675401
1980,1,23,12.0,-2.0,0.0,5.0,0.0,55.3292606559
1980,1,24,15.5,-2.5,0.0,6.5,0.0,41.6066019849
1980,1,25,16.0,-3.0,0.0,6.5,0.0,41.6066019849
1980,1,26,16.0,-1.5,0.0,7.25,0.0,43.4938977843
1980,1,27,16.0,-0.5,0.0,7.75,0.0,45.8702912958
1980,1,28,13.5,1.0,0.0,7.25,0.0,59.3098606149
1980,1,29,13.0,3.0,5.0,8.0,0.5,71.4135717404
1980,1,30,15.0,6.5,4.0,10.75,0.4,75.0820269356
1980,4,10,26.0,5.5,0.0,15.75,0.0,52.0030202699
1980,4,11,24.5,7.0,0.0,15.75,0.0,56.5250220325
1980,4,12,18.0,2.0,0.0,10.0,0.0,59.1807757208
1980,4,13,16.0,1.5,0.0,8.75,0.0,60.7553818893
1980,4,14,22.5,0.5,0.0,11.5,0.0,47.6403698349
1980,4,15,26.5,3.5,0.0,15.0,0.0,45.0708524614
1980,4,16,27.5,6.0,0.0,16.75,0.0,48.7986509237
1980,4,17,29.0,6.5,0.0,17.75,0.0,47.803584854
1980,4,18,29.5,10.5,0.0,20.0,0.0,53.6508142364
1980,4,19,31.5,11.0,0.0,21.25,0.0,49.6674119949
1980,4,20,30.5,12.5,0.0,21.5,0.0,56.7996305754
1980,4,21,28.5,13.0,0.0,20.75,0.0,61.1334996481
1980,4,22,26.0,9.5,0.0,17.75,0.0,57.7626650319
1980,4,23,20.5,1.0,0.0,10.75,0.0,50.0546846237
1980,4,24,14.0,0.5,0.0,7.25,0.0,63.2638513225
1980,4,25,21.5,3.5,0.0,12.5,0.0,52.9856259326
1980,4,26,25.5,6.0,0.0,15.75,0.0,49.7420193886
1980,4,27,28.0,11.0,0.0,19.5,0.0,57.1276946769
1980,4,28,28.5,7.0,0.0,17.75,0.0,45.8117688184
1980,4,29,25.5,10.0,0.0,17.75,0.0,59.7544810675
1980,4,30,20.0,6.0,4.0,13.0,0.4,62.0842695606
1980,5,1,19.0,6.0,0.0,12.5,0.0,64.14049455
1980,5,2,24.5,6.0,0.0,15.25,0.0,51.3577105207
1980,5,3,25.5,7.0,0.0,16.25,0.0,50.3725943476
1980,5,4,28.0,8.5,0.0,18.25,0.0,48.2552414051
1980,5,5,27.5,8.5,0.0,18.0,0.0,49.0186110976
1980,5,6,28.0,7.5,0.0,17.75,0.0,45.8117688184
1980,5,7,27.0,10.5,0.0,18.75,0.0,56.1213057136
1980,5,8,27.5,9.5,0.0,18.5,0.0,51.3054417228
1980,5,9,27.0,7.5,0.0,17.25,0.0,45.2234463983
1980,5,10,26.5,7.5,0.0,17.0,0.0,45.9438342344
1980,5,11,22.5,8.0,0.0,15.25,0.0,58.3610346826
1980,5,12,22.0,3.0,0.0,12.5,0.0,47.4081916239
1980,5,13,26.5,4.0,0.0,15.25,0.0,39.6855035841
1980,5,14,25.0,9.5,0.0,17.25,0.0,53.445891198
1980,5,15,22.0,6.0,0.0,14.0,0.0,43.0079875825
1980,5,16,24.5,8.5,0.0,16.5,0.0,36.6451243718
1980,5,17,27.5,8.5,0.0,18.0,0.0,27.4504222147
1980,5,18,29.5,10.0,0.0,19.75,0.0,21.0926507407
1980,5,19,31.0,9.5,0.0,20.25,0.0,18.7449160958
1980,5,20,33.0,11.0,0.0,22.0,0.0,18.3621910573
1980,5,21,32.5,11.0,0.0,21.75,0.0,18.6452726677
1980,5,22,30.0,10.0,0.0,20.0,0.0,19.0373856968
1980,5,23,28.0,8.0,0.0,18.0,0.0,19.607444439
1980,5,24,25.0,8.0,0.0,16.5,0.0,21.5559555128
1980,5,25,24.0,1.5,0.0,12.75,0.0,16.4616803446
1980,5,26,27.5,4.0,0.0,15.75,0.0,15.8270061691
1980,5,27,27.5,7.5,0.0,17.5,0.0,18.2109129259
1980,5,28,28.0,7.0,0.0,17.5,0.0,18.2109129259
1980,5,29,28.0,5.5,0.0,16.75,0.0,16.9734437995
1980,5,30,30.5,6.5,0.0,18.5,0.0,17.1018139076
1980,5,31,29.5,6.5,0.0,18.0,0.0,17.6466999951
1980,6,1,28.0,10.0,0.0,19.0,0.0,20.2589846027
1980,6,2,30.5,7.0,0.0,18.75,0.0,16.8363917141
1980,6,3,31.5,8.0,0.0,19.75,0.0,17.5772089506
1980,6,4,33.0,8.5,0.0,20.75,0.0,16.5225674725
1980,6,5,33.5,10.5,0.0,22.0,0.0,18.3621910573
1980,6,6,33.0,11.0,0.0,22.0,0.0,18.3621910573
1980,6,7,35.0,10.5,0.0,22.75,0.0,17.5411954706
1980,6,8,37.0,13.5,0.0,25.25,0.0,17.5998851197
1980,6,9,38.0,15.0,0.0,26.5,0.0,18.6708350418
1980,6,10,37.0,14.5,0.0,25.75,0.0,18.3022872764
1980,6,11,35.5,12.0,0.0,23.75,0.0,17.885060336
1980,6,12,36.0,14.0,0.0,25.0,0.0,19.1413788551
1980,6,13,37.0,13.5,0.0,25.25,0.0,17.5998851197
1980,6,14,36.0,14.0,0.0,25.0,0.0,19.1413788551
1980,6,15,37.0,14.0,0.0,25.5,0.0,18.5773507883
1980,6,16,38.5,14.5,0.0,26.5,0.0,17.5039078517
1980,6,17,38.0,17.0,0.0,27.5,0.0,19.7988305774
1980,6,18,37.5,17.5,0.0,27.5,0.0,20.8987656095
1980,6,19,37.0,18.0,0.0,27.5,0.0,21.9987006416
1980,6,20,37.0,17.5,0.0,27.25,0.0,21.2091753074
1980,6,21,36.5,17.5,0.0,27.0,0.0,21.5247244457
1980,6,22,37.0,16.0,0.0,26.5,0.0,19.8377622319
1980,6,23,37.5,17.0,0.0,27.25,0.0,20.0929029228
1980,6,24,36.5,16.0,0.0,26.25,0.0,20.134399225
