Year,Month,Day,T_max,T_min,Precip (mm),T_ave,Precip (cm),rh_ave
1980,1,2,18.5,-0.5,0.0,9.0,0.0,17.5725427102
1980,1,3,17.5,-2.5,0.0,7.5,0.0,15.5505729605
1980,1,11,12.5,7.5,5.0,10.0,0.5,85.4833427078
1980,1,12,18.0,5.5,0.0,11.75,0.0,38.0773829333
1980,1,13,20.5,5.5,0.0,13.0,0.0,29.6924767464
1980,1,14,21.5,6.0,0.0,13.75,0.0,28.2821786531
1980,1,15,18.5,5.0,5.0,11.75,0.5,41.0064123897
1980,1,16,17.0,2.0,0.0,9.5,0.0,27.1926002048
1980,1,17,18.0,1.0,0.0,9.5,0.0,23.7935251792
1980,1,18,16.5,6.5,4.0,11.5,0.4,53.5954160642
1980,1,19,14.5,4.0,6.0,9.25,0.6,58.7563994881
1980,1,20,13.5,-0.5,2.0,6.5,0.2,41.6066019849
1980,1,21,11.0,3.0,8.0,7.0,0.8,76.4102480213
1980,1,22,10.0,1.0,0.0,5.5,0.0,66.8253170029
1980,1,23,13.5,-0.5,0.0,6.5,0.0,45.7672621834
1980,1,24,16.5,-2.0,0.0,7.25,0.0,35.5859163689
1980,1,25,18.0,-2.5,0.0,7.75,0.0,30.5801941972
1980,1,26,18.0,-0.5,0.0,8.75,0.0,35.7384599349
1980,1,27,18.0,1.5,0.0,9.75,0.0,36.77229583
1980,1,28,15.5,3.5,0.0,9.5,0.0,50.9861253841
1980,1,29,15.5,4.5,4.0,10.0,0.4,62.4685965941
1980,1,30,17.5,8.5,3.0,13.0,0.3,75.5808498999
1980,4,10,28.0,6.5,0.0,17.25,0.0,47.2790575982
1980,4,11,26.0,8.0,0.0,17.0,0.0,54.2972586406
1980,4,12,20.0,3.5,0.0,11.75,0.0,58.5805891282
1980,4,13,18.0,4.5,0.0,11.25,0.0,63.5650485362
1980,4,14,24.0,1.5,0.0,12.75,0.0,43.8978142523
1980,4,15,28.5,4.0,0.0,16.25,0.0,39.422030359
1980,4,16,29.5,7.0,0.0,18.25,0.0,42.4646124365
1980,4,17,31.0,8.0,0.0,19.5,0.0,42.8457710077
1980,4,18,31.5,12.0,0.0,21.75,0.0,49.7207271138
1980,4,19,33.5,13.0,0.0,23.25,0.0,46.7955137316
1980,4,20,32.5,14.5,0.0,23.5,0.0,51.6790892611
1980,4,21,30.0,14.5,0.0,22.25,0.0,57.2656068532
1980,4,22,27.5,10.5,0.0,19.0,0.0,53.4100503161
1980,4,23,21.0,2.5,0.0,11.75,0.0,49.793500759
1980,4,24,16.5,1.5,0.0,9.0,0.0,59.7466452147
1980,4,25,23.5,4.0,0.0,13.75,0.0,46.2799287051
1980,4,26,27.5,7.5,0.0,17.5,0.0,44.5155649299
1980,4,27,30.0,12.5,0.0,21.25,0.0,51.2695865754
1980,4,28,30.5,8.5,0.0,19.5,0.0,41.060530549
1980,4,29,27.0,11.5,0.0,19.25,0.0,56.2104112218
1980,4,30,21.0,7.5,3.0,14.25,0.3,64.7240659367
1980,5,1,21.5,8.0,0.0,14.75,0.0,62.6739127829
1980,5,2,26.5,8.0,0.0,17.25,0.0,47.2790575982
1980,5,3,27.5,8.5,0.0,18.0,0.0,45.0971222098
1980,5,4,30.0,10.5,0.0,20.25,0.0,44.3061653174
1980,5,5,30.0,10.5,0.0,20.25,0.0,44.3061653174
1980,5,6,30.0,10.0,0.0,20.0,0.0,43.2667856746
1980,5,7,29.0,13.0,0.0,21.0,0.0,53.6910555207
1980,5,8,29.0,11.5,0.0,20.25,0.0,49.4184151617
1980,5,9,29.0,9.5,0.0,19.25,0.0,41.7044986484
1980,5,10,28.0,9.5,0.0,18.75,0.0,41.15562419
1980,5,11,24.5,9.5,0.0,17.0,0.0,52.2089025391
1980,5,12,24.0,5.0,0.0,14.5,0.0,41.6433631165
1980,5,13,28.0,5.5,0.0,16.75,0.0,33.9468875991
1980,5,14,27.0,10.5,0.0,18.75,0.0,43.0263343804
1980,5,15,24.0,8.0,0.0,16.0,0.0,33.3786588402
1980,5,16,26.5,9.5,0.0,18.0,0.0,23.5289333269
1980,5,17,29.5,10.0,0.0,19.75,0.0,19.3349298457
1980,5,18,31.5,11.0,0.0,21.25,0.0,19.2260949658
1980,5,19,33.0,11.5,0.0,22.25,0.0,18.0838758484
1980,5,20,35.0,12.5,0.0,23.75,0.0,17.885060336
1980,5,21,34.5,12.5,0.0,23.5,0.0,18.1575178485
1980,5,22,32.0,12.0,0.0,22.0,0.0,19.8923736454
1980,5,23,30.0,9.5,0.0,19.75,0.0,19.3349298457
1980,5,24,26.5,10.0,0.0,18.25,0.0,21.2323062182
1980,5,25,26.0,3.0,0.0,14.5,0.0,17.1472671656
1980,5,26,29.0,5.5,0.0,17.25,0.0,16.4448895994
1980,5,27,29.5,8.5,0.0,19.0,0.0,18.4172587297
1980,5,28,29.5,8.0,0.0,18.75,0.0,18.7071019045
1980,5,29,30.0,7.0,0.0,18.5,0.0,17.1018139076
1980,5,30,32.0,8.0,0.0,20.0,0.0,17.3067142698
1980,5,31,31.5,8.0,0.0,19.75,0.0,17.5772089506
1980,6,1,30.0,11.5,0.0,20.75,0.0,19.8270809669
1980,6,2,32.0,8.5,0.0,20.25,0.0,17.0408328144
1980,6,3,33.5,9.0,0.0,21.25,0.0,16.0217458048
1980,6,4,35.0,10.0,0.0,22.5,0.0,16.3260527038
1980,6,5,35.5,12.0,0.0,23.75,0.0,17.885060336
1980,6,6,35.0,12.5,0.0,23.75,0.0,17.885060336
1980,6,7,36.5,11.5,0.0,24.0,0.0,16.2619749295
1980,6,8,38.5,14.5,0.0,26.5,0.0,17.5039078517
1980,6,9,39.5,15.5,0.0,27.5,0.0,17.5989605133
1980,6,10,39.0,15.5,0.0,27.25,0.0,17.8603581536
1980,6,11,37.5,13.0,0.0,25.25,0.0,17.5998851197
1980,6,12,37.5,14.5,0.0,26.0,0.0,18.0317462584
1980,6,13,39.0,14.5,0.0,26.75,0.0,17.2464524648
1980,6,14,37.5,15.0,0.0,26.25,0.0,18.9500228
1980,6,15,38.5,14.5,0.0,26.5,0.0,17.5039078517
1980,6,16,40.0,15.5,0.0,27.75,0.0,17.3418136649
1980,6,17,40.0,18.0,0.0,29.0,0.0,20.1465541644
1980,6,18,39.5,18.5,0.0,29.0,0.0,20.1465541644
1980,6,19,39.0,19.5,0.0,29.25,0.0,21.840585534
1980,6,20,39.0,19.0,0.0,29.0,0.0,21.1538818726
1980,6,21,38.5,19.0,0.0,28.75,0.0,21.4649433111
1980,6,22,38.5,17.5,0.0,28.0,0.0,20.2929998041
1980,6,23,39.0,18.5,0.0,28.75,0.0,20.4428031535
1980,6,24,38.5,17.5,0.0,28.0,0.0,20.2929998041
1980,6,25,39.5,19.0,0.0,29.25,0.0,20.847831646
1980,6,26,41.0,19.5,0.0,30.25,0.0,20.6087617745
1980,6,27,40.0,21.5,0.0,30.75,0.0,22.7522992187
1980,6,28,41.0,22.0,0.0,31.5,0.0,21.7914749824
1980,6,29,41.0,22.0,0.0,31.5,0.0,21.7914749824
1980,6,30,38.0,19.5,10.0,28.75,1.0,22.4870834688
1980,7,1,34.0,17.5,0.0,25.75,0.0,23.1828972168
1980,7,2,36.5,19.0,0.0,27.75,0.0,22.7611304352
1980,7,3,39.0,19.0,0.0,29.0,0.0,21.1538818726
1980,7,4,40.0,19.5,0.0,29.75,0.0,21.2147182709
1980,7,5,38.5,22.0,0.0,30.25,0.0,23.419047471
1980,7,6,36.5,22.0,0.0,29.25,0.0,24.8188471977
1980,7,7,36.5,19.5,4.0,28.0,0.4,23.4971576679
1980,7,8,38.0,21.5,0.0,29.75,0.0,24.1076343987
1980,7,9,36.5,22.5,0.0,29.5,0.0,25.4387766603
1980,7,10,37.5,23.5,0.0,30.5,0.0,25.8529505231
1980,7,11,37.5,20.5,0.0,29.0,0.0,23.168537289
1980,7,12,34.0,18.5,8.0,26.25,0.8,23.6875285
1980,7,13,32.0,18.5,13.0,25.25,1.3,25.1426930282
1980,7,14,35.5,20.0,0.0,27.75,0.0,23.8449937893
1980,7,15,38.0,20.0,0.0,29.0,0.0,22.1612095808
