Year,Month,Day,T_max,T_min,Precip (mm),T_ave,Precip (cm),rh_ave
1980,1,2,20.0,0.0,0.0,10.0,0.0,16.4391043669
1980,1,3,19.5,-1.0,0.0,9.25,0.0,17.2812939671
1980,1,11,15.0,9.0,4.0,12.0,0.4,77.7980322203
1980,1,12,19.5,7.0,0.0,13.25,0.0,34.5255230005
1980,1,13,22.0,6.5,0.0,14.25,0.0,27.3832586655
1980,1,14,23.0,7.0,0.0,15.0,0.0,23.7215012955
1980,1,15,20.0,6.5,4.0,13.25,0.4,39.8371419237
1980,1,16,19.0,3.0,0.0,11.0,0.0,21.5403944646
1980,1,17,20.0,2.5,0.0,11.25,0.0,18.1614424389
1980,1,18,19.0,8.5,3.0,13.75,0.3,48.8510358554
1980,1,19,16.5,5.5,4.0,11.0,0.4,49.2351873476
1980,1,20,15.0,1.0,1.0,8.0,0.1,33.8274813507
1980,1,21,12.5,5.0,7.0,8.75,0.7,75.0507658632
1980,1,22,12.0,2.5,0.0,7.25,0.0,59.3098606149
1980,1,23,15.5,1.5,0.0,8.5,0.0,39.977226837
1980,1,24,18.0,-1.5,0.0,8.25,0.0,29.566986396
1980,1,25,19.5,-1.5,0.0,9.0,0.0,24.6015597943
1980,1,26,20.5,1.0,0.0,10.75,0.0,25.0273423119
1980,1,27,20.5,3.5,0.0,12.0,0.0,31.6954946083
1980,1,28,17.5,6.0,0.0,11.75,0.0,46.8644713026
1980,1,29,17.5,6.5,3.0,12.0,0.3,57.628172015
1980,1,30,19.5,10.5,2.0,15.0,0.2,61.6759033683
1980,4,10,30.0,8.0,0.0,19.0,0.0,40.5179692053
1980,4,11,27.5,8.5,0.0,18.0,0.0,47.0578666537
1980,4,12,21.5,5.5,0.0,13.5,0.0,54.8746417567
1980,4,13,20.5,7.5,0.0,14.0,0.0,63.2470405625
1980,4,14,25.5,3.0,0.0,14.25,0.0,39.8301944226
1980,4,15,30.0,5.0,0.0,17.5,0.0,34.3983910822
1980,4,16,31.5,8.5,0.0,20.0,0.0,38.0747713936
1980,4,17,33.0,9.0,0.0,21.0,0.0,35.7940370138
1980,4,18,34.0,14.5,0.0,24.25,0.0,44.0516308266
1980,4,19,35.5,15.0,0.0,25.25,0.0,41.4854434965
1980,4,20,35.0,16.5,0.0,25.75,0.0,46.3657944336
1980,4,21,32.5,16.5,0.0,24.5,0.0,51.2837372438
1980,4,22,29.0,12.0,0.0,20.5,0.0,48.6604880113
1980,4,23,21.5,4.0,0.0,12.75,0.0,46.641427643
1980,4,24,19.0,3.0,0.0,11.0,0.0,52.3123865569
1980,4,25,25.0,5.5,0.0,15.25,0.0,42.0199449715
1980,4,26,29.5,9.5,0.0,19.5,0.0,41.060530549
1980,4,27,32.5,14.5,0.0,23.5,0.0,44.6954285501
1980,4,28,32.5,9.5,0.0,21.0,0.0,34.1670353313
1980,4,29,28.5,13.5,0.0,21.0,0.0,52.0640538382
1980,4,30,22.0,9.5,3.0,15.75,0.3,67.8300264389
1980,5,1,24.5,10.0,0.0,17.25,0.0,53.445891198
1980,5,2,28.5,10.0,0.0,19.25,0.0,41.7044986484
1980,5,3,30.0,10.0,0.0,20.0,0.0,38.0747713936
1980,5,4,32.0,13.0,0.0,22.5,0.0,41.5572250641
1980,5,5,32.5,13.0,0.0,22.75,0.0,39.4676898088
1980,5,6,32.5,12.0,0.0,22.25,0.0,37.6747413508
1980,5,7,31.5,15.5,0.0,23.5,0.0,48.8856249767
1980,5,8,31.0,13.0,0.0,22.0,0.0,42.8451124671
1980,5,9,31.0,11.0,0.0,21.0,0.0,34.1670353313
1980,5,10,30.0,11.0,0.0,20.5,0.0,33.5589572491
