,year,yday,prcp (mm/day),tmax (deg c),tmin (deg c),vp (Pa)
135,1980,136,0.0,24.5,8.0,520.0
136,1980,137,0.0,26.5,9.0,400.0
137,1980,138,0.0,29.5,9.5,440.0
138,1980,139,0.0,31.5,10.0,440.0
139,1980,140,0.0,33.0,11.0,480.0
140,1980,141,0.0,35.0,12.5,520.0
141,1980,142,0.0,34.5,12.5,520.0
142,1980,143,0.0,32.5,11.5,480.0
143,1980,144,0.0,30.5,9.5,440.0
144,1980,145,0.0,27.5,10.0,440.0
145,1980,146,0.0,26.5,2.5,240.0
146,1980,147,0.0,29.0,5.0,320.0
147,1980,148,0.0,30.0,8.5,400.0
148,1980,149,0.0,30.0,7.5,360.0
149,1980,150,0.0,30.5,7.0,360.0
150,1980,151,0.0,32.5,7.5,360.0
151,1980,152,0.0,32.0,8.0,400.0
152,1980,153,0.0,30.0,10.5,480.0
153,1980,154,0.0,32.5,7.5,360.0
154,1980,155,0.0,33.5,8.0,400.0
155,1980,156,0.0,35.5,9.0,400.0
156,1980,157,0.0,35.5,11.0,480.0
157,1980,158,0.0,35.0,11.5,480.0
158,1980,159,0.0,37.0,10.5,480.0
159,1980,160,0.0,38.5,13.5,560.0
160,1980,161,0.0,40.0,15.5,640.0
161,1980,162,0.0,39.0,15.0,640.0
162,1980,163,0.0,37.5,12.0,520.0
163,1980,164,0.0,37.5,13.5,560.0
164,1980,165,0.0,39.0,13.5,560.0
165,1980,166,0.0,38.0,14.5,600.0
166,1980,167,0.0,39.0,13.5,560.0
167,1980,168,0.0,40.5,14.5,600.0
168,1980,169,0.0,40.5,17.0,720.0
169,1980,170,0.0,39.5,18.0,800.0
170,1980,171,0.0,39.0,18.5,800.0
171,1980,172,0.0,39.0,18.5,800.0
172,1980,173,0.0,38.5,18.5,800.0
173,1980,174,0.0,39.0,17.0,720.0
174,1980,175,0.0,39.0,17.5,760.0
175,1980,176,0.0,39.0,17.0,720.0
176,1980,177,0.0,39.0,19.0,840.0
177,1980,178,0.0,41.0,18.5,800.0
178,1980,179,0.0,40.5,20.5,920.0
179,1980,180,0.0,41.5,21.5,1000.0
180,1980,181,0.0,41.5,21.5,1000.0
181,1980,182,20.0,38.5,19.5,880.0
182,1980,183,11.0,34.5,17.5,760.0
183,1980,184,0.0,36.5,18.5,800.0
184,1980,185,0.0,39.0,18.0,800.0
185,1980,186,0.0,40.0,19.0,840.0
186,1980,187,0.0,39.0,21.5,1000.0
187,1980,188,0.0,36.5,22.0,1000.0
188,1980,189,4.0,36.5,19.5,880.0
189,1980,190,0.0,38.0,21.0,960.0
190,1980,191,0.0,37.0,22.0,1000.0
191,1980,192,0.0,37.5,22.5,1040.0
192,1980,193,0.0,38.0,20.0,880.0
193,1980,194,4.0,34.5,19.0,840.0
194,1980,195,13.0,32.0,18.5,920.0
195,1980,196,0.0,35.5,19.5,880.0
196,1980,197,0.0,38.0,19.5,880.0
197,1980,198,0.0,39.5,22.0,1000.0
198,1980,199,0.0,39.5,21.5,1000.0
199,1980,200,0.0,38.5,22.5,1040.0
200,1980,201,0.0,37.5,21.0,960.0
201,1980,202,0.0,36.5,19.0,840.0
202,1980,203,0.0,37.5,21.0,960.0
203,1980,204,0.0,36.0,22.0,1000.0
204,1980,205,1.0,36.5,22.5,1040.0
205,1980,206,0.0,38.0,20.5,920.0
206,1980,207,0.0,39.0,19.5,880.0
207,1980,208,0.0,38.5,19.0,840.0
208,1980,209,2.0,40.0,21.5,1000.0
209,1980,210,0.0,39.0,22.5,1040.0
210,1980,211,0.0,37.0,22.5,1040.0
211,1980,212,0.0,37.0,21.5,1000.0
212,1980,213,9.0,38.0,21.0,1080.0
213,1980,214,0.0,37.5,19.0,840.0
214,1980,215,0.0,36.0,21.0,1000.0
215,1980,216,0.0,35.0,21.0,1080.0
216,1980,217,0.0,34.0,20.0,1000.0
217,1980,218,0.0,34.0,19.5,960.0
218,1980,219,0.0,36.5,19.0,840.0
219,1980,220,0.0,38.5,20.0,880.0
220,1980,221,0.0,38.5,22.0,1000.0
221,1980,222,0.0,37.5,20.5,920.0
222,1980,223,9.0,37.0,20.5,1320.0
223,1980,224,13.0,37.0,20.0,1440.0
224,1980,225,0.0,35.0,21.0,1560.0
225,1980,226,0.0,31.0,20.0,1720.0
226,1980,227,8.0,31.0,19.0,1840.0
227,1980,228,6.0,32.0,17.0,1520.0
228,1980,229,0.0,33.5,17.5,1320.0
229,1980,230,0.0,34.5,14.5,960.0
230,1980,231,0.0,34.5,16.0,1120.0
231,1980,232,0.0,31.5,18.5,1560.0
232,1980,233,0.0,33.0,16.0,1160.0
233,1980,234,0.0,35.5,14.5,960.0
234,1980,235,0.0,35.0,18.0,1320.0
235,1980,236,6.0,32.5,18.0,1760.0
236,1980,237,12.0,30.5,17.5,1800.0
237,1980,238,3.0,31.5,15.5,1560.0
238,1980,239,0.0,34.0,16.0,1320.0
239,1980,240,0.0,35.0,17.0,1440.0
240,1980,241,0.0,35.5,17.5,1480.0
241,1980,242,0.0,35.5,18.5,1640.0
242,1980,243,0.0,35.0,17.0,1440.0
243,1980,244,0.0,34.5,15.0,1240.0
244,1980,245,0.0,34.5,14.5,1200.0
245,1980,246,0.0,35.5,15.5,1280.0
246,1980,247,0.0,35.5,18.0,1600.0
247,1980,248,1.0,32.0,20.5,2200.0
248,1980,249,3.0,32.0,17.0,1840.0
249,1980,250,2.0,33.0,17.0,1600.0
250,1980,251,0.0,32.0,18.5,1880.0
251,1980,252,0.0,31.5,18.0,1840.0
252,1980,253,0.0,32.0,16.5,1600.0
253,1980,254,0.0,32.0,18.0,1800.0
254,1980,255,0.0,32.5,16.0,1520.0
255,1980,256,0.0,32.5,12.5,1120.0
256,1980,257,0.0,34.0,12.5,1120.0
257,1980,258,0.0,33.5,15.0,1400.0
258,1980,259,0.0,34.5,16.0,1480.0
259,1980,260,0.0,35.5,14.5,1280.0
260,1980,261,0.0,37.0,14.0,1240.0
261,1980,262,0.0,38.0,15.5,1360.0
262,1980,263,0.0,36.0,17.0,1600.0
263,1980,264,0.0,35.5,14.5,1320.0
264,1980,265,0.0,34.5,12.5,1160.0
265,1980,266,0.0,34.0,11.0,1040.0
266,1980,267,0.0,33.5,12.0,1160.0
267,1980,268,0.0,32.5,14.0,1400.0
268,1980,269,2.0,31.5,13.0,1320.0
269,1980,270,13.0,30.0,14.5,1640.0
270,1980,271,0.0,30.5,16.5,1880.0
271,1980,272,0.0,32.0,15.5,1680.0
272,1980,273,0.0,34.0,15.0,1440.0
273,1980,274,0.0,35.0,15.0,1360.0
274,1980,275,0.0,36.0,14.0,1240.0
275,1980,276,0.0,36.5,13.0,1160.0
276,1980,277,0.0,36.0,15.5,1440.0
277,1980,278,0.0,35.0,13.5,1240.0
278,1980,279,0.0,35.5,13.5,1240.0
279,1980,280,0.0,34.0,12.5,1160.0
280,1980,281,0.0,32.0,16.0,1640.0
281,1980,282,0.0,31.5,13.0,1280.0
282,1980,283,0.0,32.0,12.5,1240.0
283,1980,284,0.0,32.5,13.5,1320.0
284,1980,285,0.0,30.0,14.5,1480.0
285,1980,286,0.0,29.5,12.5,1200.0
286,1980,287,6.0,28.0,13.5,1520.0
287,1980,288,0.0,27.0,12.0,1280.0
288,1980,289,2.0,22.5,7.5,960.0
289,1980,290,4.0,15.0,2.5,720.0
290,1980,291,0.0,19.5,0.5,560.0
291,1980,292,0.0,22.0,1.0,560.0
292,1980,293,0.0,24.0,4.0,720.0
293,1980,294,0.0,22.5,7.5,1000.0
294,1980,295,0.0,24.0,4.5,760.0
