,year,yday,prcp (mm/day),tmax (deg c),tmin (deg c),vp (Pa)
0,1980,1,0.0,17.0,-1.5,200.0
1,1980,2,0.0,16.5,-2.0,200.0
2,1980,3,0.0,14.0,-4.0,160.0
3,1980,4,0.0,16.0,-3.0,160.0
4,1980,5,0.0,17.0,-3.5,160.0
5,1980,6,0.0,16.5,-1.0,200.0
6,1980,7,0.0,14.5,0.0,200.0
7,1980,8,0.0,14.0,-0.5,200.0
8,1980,9,0.0,13.0,0.0,200.0
9,1980,10,5.0,11.0,3.5,600.0
10,1980,11,5.0,10.0,5.0,880.0
11,1980,12,3.0,15.5,2.5,520.0
12,1980,13,0.0,18.5,3.5,320.0
13,1980,14,0.0,19.5,3.0,280.0
14,1980,15,5.0,16.0,2.0,400.0
15,1980,16,0.0,15.0,-0.5,280.0
16,1980,17,0.0,15.5,-1.0,280.0
17,1980,18,0.0,14.5,3.5,480.0
18,1980,19,0.0,13.0,2.5,480.0
19,1980,20,0.0,12.5,-3.0,240.0
20,1980,21,9.0,9.5,0.5,560.0
21,1980,22,4.0,7.0,-2.0,520.0
22,1980,23,0.0,10.0,-3.5,360.0
23,1980,24,0.0,13.0,-4.0,280.0
24,1980,25,0.0,15.5,-4.5,240.0
25,1980,26,0.0,15.0,-2.5,320.0
26,1980,27,0.0,14.5,-1.5,360.0
27,1980,28,0.0,12.5,-0.5,400.0
28,1980,29,2.0,12.0,1.0,480.0
29,1980,30,0.0,14.0,5.5,760.0
30,1980,31,3.0,13.0,6.5,960.0
31,1980,32,0.0,15.0,4.5,640.0
32,1980,33,0.0,19.0,0.0,360.0
33,1980,34,0.0,21.5,1.0,360.0
34,1980,35,0.0,22.5,1.0,320.0
35,1980,36,0.0,21.5,2.5,400.0
36,1980,37,0.0,21.5,3.5,440.0
37,1980,38,0.0,18.0,1.5,400.0
38,1980,39,16.0,11.0,-1.0,480.0
39,1980,40,5.0,6.0,-3.5,480.0
40,1980,41,0.0,9.0,-4.5,400.0
41,1980,42,0.0,13.0,-5.5,320.0
42,1980,43,0.0,14.0,-3.5,360.0
43,1980,44,11.0,12.5,1.5,680.0
44,1980,45,40.0,11.5,5.0,880.0
45,1980,46,14.0,13.5,6.5,960.0
