Year,Month,Day,T_max,T_min,Precip (mm),T_ave,Precip (cm),rh_ave
1980,1,1,19.0,-0.5,0.0,9.25,0.0,17.2812939671
1980,1,2,18.5,-1.5,0.0,8.5,0.0,18.1714667441
1980,1,3,16.5,-3.0,0.0,6.75,0.0,16.3618920364
1980,1,4,19.0,-2.0,0.0,8.5,0.0,18.1714667441
1980,1,5,20.0,-3.0,0.0,8.5,0.0,14.5371733953
1980,1,6,19.0,0.0,0.0,9.5,0.0,16.995375128
1980,1,7,17.0,0.5,0.0,8.75,0.0,21.4430759609
1980,1,8,17.5,3.0,0.0,10.25,0.0,22.6359653932
1980,1,9,16.0,2.5,0.0,9.25,0.0,20.7375527605
1980,1,10,14.0,6.0,6.0,10.0,0.6,55.8929548474
1980,1,11,13.0,7.0,4.0,10.0,0.4,78.907700961
1980,1,12,18.0,4.5,1.0,11.25,0.1,30.2690707315
1980,1,13,20.5,4.5,0.0,12.5,0.0,22.3097372348
1980,1,14,22.0,4.5,0.0,13.25,0.0,21.2464756926
1980,1,15,18.5,4.5,5.0,11.5,0.5,32.7527542615
1980,1,16,17.5,1.0,0.0,9.25,0.0,20.7375527605
1980,1,17,18.0,0.0,0.0,9.0,0.0,17.5725427102
1980,1,18,17.0,5.5,2.0,11.25,0.2,33.2959778047
1980,1,19,15.5,4.0,0.0,9.75,0.0,36.77229583
1980,1,20,14.5,-1.0,2.0,6.75,0.2,24.5428380546
1980,1,21,12.0,3.0,7.0,7.5,0.7,62.2022918419
1980,1,22,9.5,0.5,2.0,5.0,0.2,59.9400323773
1980,1,23,12.5,-1.5,0.0,5.5,0.0,40.0951902017
1980,1,24,15.5,-3.0,0.0,6.25,0.0,29.625264398
1980,1,25,18.0,-3.5,0.0,7.25,0.0,23.723944246
1980,1,26,18.0,-1.5,0.0,8.25,0.0,25.8711130965
1980,1,27,18.0,0.5,0.0,9.25,0.0,27.6500703474
1980,1,28,16.0,2.5,0.0,9.25,0.0,38.0188467276
1980,1,29,15.5,3.5,3.0,9.5,0.3,54.3852004097
1980,1,30,17.0,8.0,2.0,12.5,0.2,58.5630602413
1980,1,31,17.0,9.0,3.0,13.0,0.3,75.5808498999
1980,2,1,19.0,7.0,0.0,13.0,0.0,48.5876892214
1980,2,2,22.0,2.0,0.0,12.0,0.0,25.9326774068
1980,2,3,24.5,1.5,0.0,13.0,0.0,21.5945285428
1980,2,4,25.0,2.0,0.0,13.5,0.0,20.9046254311
1980,2,5,24.5,2.5,0.0,13.5,0.0,23.51770361
1980,2,6,24.5,4.5,0.0,14.5,0.0,24.4960959509
1980,2,7,20.5,3.0,0.0,11.75,0.0,29.2902945641
1980,2,8,13.0,1.0,16.0,7.0,1.6,56.3022880157
1980,2,9,8.0,-1.0,4.0,3.5,0.4,71.6138559669
1980,2,10,12.0,-1.5,0.0,5.25,0.0,54.3858895597
1980,2,11,15.5,-2.5,0.0,6.5,0.0,41.6066019849
1980,2,12,17.0,-1.5,0.0,7.75,0.0,38.2252427465
1980,2,13,15.5,4.0,6.0,9.75,0.6,66.8587196909
1980,2,14,14.5,7.5,36.0,11.0,3.6,80.0071794399
1980,2,15,16.0,9.0,12.0,12.5,1.2,80.8727974761
1980,2,16,16.0,3.5,1.0,9.75,0.1,66.8587196909
1980,2,17,16.5,6.5,9.0,11.5,0.9,71.4605547523
1980,2,18,18.5,6.5,2.0,12.5,0.2,66.9292117044
1980,2,19,18.5,9.5,0.0,14.0,0.0,75.896448675
1980,2,20,17.0,7.0,6.0,12.0,0.6,72.0352150188
1980,2,21,16.0,4.5,0.0,10.25,0.0,67.9078961796
1980,2,22,17.5,3.5,0.0,10.5,0.0,63.6116295249
1980,2,23,19.5,1.5,0.0,10.5,0.0,54.0698850961
1980,2,24,20.5,1.0,0.0,10.75,0.0,50.0546846237
1980,2,25,22.0,1.5,0.0,11.75,0.0,46.8644713026
1980,2,26,24.5,4.0,0.0,14.25,0.0,47.2983558768
1980,2,27,26.0,4.0,0.0,15.0,0.0,42.6987023319
1980,2,28,26.0,4.5,0.0,15.25,0.0,44.3543863588
1980,2,29,23.5,5.0,0.0,14.25,0.0,49.7877430282
1980,3,1,21.5,2.5,0.0,12.0,0.0,48.9839462128
1980,3,2,20.0,5.5,0.0,12.75,0.0,63.1031079876
1980,3,3,19.5,6.5,0.0,13.0,0.0,64.7835856285
1980,3,4,18.5,5.0,0.0,11.75,0.0,64.438648041
1980,3,5,21.5,1.5,0.0,11.5,0.0,47.6403698349
1980,3,6,21.5,3.5,0.0,12.5,0.0,50.1969087783
1980,3,7,19.0,6.5,3.0,12.75,0.3,65.8467213784
1980,3,8,20.5,1.0,0.0,10.75,0.0,46.9262668347
1980,3,9,20.0,2.0,0.0,11.0,0.0,49.2351873476
1980,3,10,17.5,6.5,0.0,12.0,0.0,69.153806418
1980,3,11,16.0,7.0,9.0,11.5,0.9,74.438077867
1980,3,12,18.0,5.5,0.0,11.75,0.0,67.3676774974
1980,3,13,22.5,1.5,0.0,12.0,0.0,43.2211290113
1980,3,14,25.0,4.0,0.0,14.5,0.0,44.0929727116
1980,3,15,23.5,4.5,0.0,14.0,0.0,48.0677508275
1980,3,16,20.5,4.0,0.0,12.25,0.0,53.8582250045
1980,3,17,19.5,1.0,0.0,10.25,0.0,48.5056401283
1980,3,18,23.0,2.0,0.0,12.5,0.0,41.8307573152
1980,3,19,19.5,4.0,3.0,11.75,0.3,58.5805891282
1980,3,20,19.0,-1.5,0.0,8.75,0.0,46.4599979153
1980,3,21,23.0,1.5,0.0,12.25,0.0,42.5196513194
1980,3,22,21.0,5.5,0.0,13.25,0.0,58.4278081547
1980,3,23,17.0,2.0,0.0,9.5,0.0,57.7842754353
1980,3,24,19.0,0.5,0.0,9.75,0.0,50.1440397682
1980,3,25,19.0,3.0,0.0,11.0,0.0,55.3895857661
1980,3,26,17.0,2.5,0.0,9.75,0.0,60.1728477218
1980,3,27,15.0,3.0,10.0,9.0,1.0,66.7756622988
1980,3,28,15.5,1.0,0.0,8.25,0.0,59.1339727919
1980,3,29,18.0,-1.5,0.0,8.25,0.0,48.0463528934
1980,3,30,22.0,-1.0,0.0,10.5,0.0,38.1669777149
1980,3,31,19.5,4.5,0.0,12.0,0.0,57.628172015
1980,4,1,21.5,-0.5,0.0,10.5,0.0,41.3475591912
1980,4,2,19.0,1.5,0.0,10.25,0.0,51.7393494702
1980,4,3,21.0,0.0,0.0,10.5,0.0,44.5281406674
1980,4,4,26.0,3.0,0.0,14.5,0.0,39.1937535214
1980,4,5,25.5,4.0,0.0,14.75,0.0,40.9790968196
1980,4,6,24.5,4.0,0.0,14.25,0.0,44.8089687254
1980,4,7,25.0,5.5,0.0,15.25,0.0,46.6888277461
1980,4,8,27.0,3.0,0.0,15.0,0.0,37.9544020728
1980,4,9,29.0,5.0,0.0,17.0,0.0,37.5904098281
1980,4,10,28.5,5.5,0.0,17.0,0.0,37.5904098281
1980,4,11,26.5,7.0,0.0,16.75,0.0,44.5552899738
1980,4,12,20.0,3.0,0.0,11.5,0.0,50.6178929496
1980,4,13,17.5,2.5,0.0,10.0,0.0,55.8929548474
1980,4,14,24.0,0.5,0.0,12.25,0.0,36.8503644768
1980,4,15,28.5,3.5,0.0,16.0,0.0,33.3786588402
1980,4,16,29.5,6.0,0.0,17.75,0.0,35.8526886405
1980,4,17,30.5,6.5,0.0,18.5,0.0,34.2036278152
1980,4,18,31.5,10.0,0.0,20.75,0.0,39.6541619339
1980,4,19,33.0,10.5,0.0,21.75,0.0,37.2905453354
1980,4,20,32.5,13.0,0.0,22.75,0.0,42.3912223873
1980,4,21,30.0,14.5,0.0,22.25,0.0,51.2376482371
1980,4,22,27.5,10.5,0.0,19.0,0.0,46.0431468242
1980,4,23,22.5,2.0,0.0,12.25,0.0,39.6850078981
1980,4,24,16.5,1.5,0.0,9.0,0.0,52.7176281306
1980,4,25,23.5,4.5,0.0,14.0,0.0,40.47810596
1980,4,26,27.5,6.5,0.0,17.0,0.0,37.5904098281
1980,4,27,30.0,12.0,0.0,21.0,0.0,43.929045426
1980,4,28,30.5,7.5,0.0,19.0,0.0,33.1510657135
1980,4,29,27.5,12.0,0.0,19.75,0.0,50.9739059567
1980,4,30,21.0,8.0,3.0,14.5,0.3,66.1394590674
1980,5,1,22.0,8.0,0.0,15.0,0.0,54.5594529796
1980,5,2,26.5,7.5,0.0,17.0,0.0,39.6787659297
1980,5,3,27.5,9.0,0.0,18.25,0.0,40.5344027803
1980,5,4,29.5,9.5,0.0,19.5,0.0,37.4900496317
1980,5,5,30.0,10.5,0.0,20.25,0.0,37.4898321916
1980,5,6,30.5,9.0,0.0,19.75,0.0,33.3966970061
1980,5,7,29.0,12.0,0.0,20.5,0.0,43.6266444239
1980,5,8,29.5,10.5,0.0,20.0,0.0,39.8054428206
1980,5,9,29.0,8.5,0.0,18.75,0.0,31.8020732377
1980,5,10,28.5,9.5,0.0,19.0,0.0,33.1510657135
1980,5,11,25.5,9.5,0.0,17.5,0.0,40.4686953908
1980,5,12,24.5,4.5,0.0,14.5,0.0,31.8449247362
1980,5,13,28.5,4.5,0.0,16.5,0.0,25.8671466154
1980,5,14,27.0,9.5,0.0,18.25,0.0,34.7437738117
1980,5,15,24.5,8.0,0.0,16.25,0.0,21.9011279772
1980,5,16,26.5,8.5,0.0,17.5,0.0,20.2343476954
1980,5,17,29.5,9.5,0.0,19.5,0.0,19.6376450452
