Year,Month,Day,T_max,T_min,Precip (mm),T_ave,Precip (cm),rh_ave
1980,1,1,16.5,-1.5,0.0,7.5,0.0,19.4382162006
1980,1,2,16.5,-2.0,0.0,7.25,0.0,19.7699535383
1980,1,3,14.0,-4.0,0.0,5.0,0.0,18.4430868853
1980,1,4,16.0,-3.0,0.0,6.5,0.0,16.642640794
1980,1,5,17.0,-3.5,0.0,6.75,0.0,16.3618920364
1980,1,6,16.0,-1.0,0.0,7.5,0.0,19.4382162006
1980,1,7,14.0,0.0,0.0,7.0,0.0,20.1079600056
1980,1,8,14.0,-0.5,0.0,6.75,0.0,20.4523650455
1980,1,9,13.0,0.0,0.0,6.5,0.0,20.8033009924
1980,1,10,11.0,3.0,5.0,7.0,0.5,56.3022880157
1980,1,11,10.0,5.0,5.0,7.5,0.5,85.5281512826
1980,1,12,15.5,2.0,3.0,8.75,0.3,42.8861519218
1980,1,13,18.0,3.5,0.0,10.75,0.0,25.0273423119
1980,1,14,19.5,3.0,0.0,11.25,0.0,21.1883495121
1980,1,15,16.0,2.0,5.0,9.0,0.5,35.1450854204
1980,1,16,14.5,-0.5,0.0,7.0,0.0,28.1511440078
1980,1,17,15.5,-1.0,0.0,7.25,0.0,27.6779349536
1980,1,18,14.5,3.5,0.0,9.0,0.0,42.1741025045
1980,1,19,13.0,2.5,0.0,7.75,0.0,45.8702912958
1980,1,20,12.0,-3.0,0.0,4.5,0.0,28.635350497
1980,1,21,9.5,0.5,9.0,5.0,0.9,64.5508040986
1980,1,22,7.0,-2.0,4.0,2.5,0.4,71.3097289654
1980,1,23,10.0,-3.5,0.0,3.25,0.0,46.8462729573
1980,1,24,13.0,-4.0,0.0,4.5,0.0,33.4079089132
1980,1,25,15.0,-4.5,0.0,5.25,0.0,27.1929447798
1980,1,26,15.0,-2.5,0.0,6.25,0.0,33.8574450263
1980,1,27,14.5,-2.0,0.0,6.25,0.0,33.8574450263
1980,1,28,12.5,-1.0,0.0,5.75,0.0,43.7933249153
1980,1,29,12.0,1.0,2.0,6.5,0.2,49.9279223819
1980,1,30,14.0,5.0,0.0,9.5,0.0,61.1833504609
1980,1,31,13.0,6.5,3.0,9.75,0.3,80.2304636291
