Year,Month,Day,T_max,T_min,Precip (mm),T_ave,Precip (cm),rh_ave
1980,1,1,17.0,-1.0,0.0,8.0,0.0,18.7930451948
1980,1,2,17.0,-2.0,0.0,7.5,0.0,19.4382162006
1980,1,3,14.0,-4.0,0.0,5.0,0.0,18.4430868853
1980,1,4,16.5,-3.0,0.0,6.75,0.0,16.3618920364
1980,1,5,17.5,-3.5,0.0,7.0,0.0,16.0863680045
1980,1,6,17.0,-1.0,0.0,8.0,0.0,18.7930451948
1980,1,7,15.0,0.0,0.0,7.5,0.0,19.4382162006
1980,1,8,14.5,0.0,0.0,7.25,0.0,19.7699535383
1980,1,9,13.5,0.5,0.0,7.0,0.0,24.1295520067
1980,1,10,11.5,3.5,5.0,7.5,0.5,54.4270053617
1980,1,11,10.5,5.0,5.0,7.75,0.5,80.2730097677
1980,1,12,16.0,2.5,3.0,9.25,0.3,41.475105521
1980,1,13,18.5,3.5,0.0,11.0,0.0,24.6175936738
1980,1,14,20.0,3.0,0.0,11.5,0.0,20.8426618028
1980,1,15,16.5,2.5,5.0,9.5,0.5,37.3898252816
1980,1,16,15.0,0.0,0.0,7.5,0.0,31.101145921
1980,1,17,16.0,-1.0,0.0,7.5,0.0,23.3258594407
1980,1,18,15.0,4.0,0.0,9.5,0.0,40.7889003072
1980,1,19,13.5,3.0,0.0,8.25,0.0,44.3504795939
1980,1,20,13.0,-2.5,0.0,5.25,0.0,27.1929447798
1980,1,21,10.0,1.0,9.0,5.5,0.9,62.3702958694
1980,1,22,7.5,-1.5,4.0,3.0,0.4,68.8577934793
1980,1,23,10.5,-3.5,0.0,3.5,0.0,46.0374788359
1980,1,24,13.5,-4.0,0.0,4.75,0.0,32.8362638183
1980,1,25,16.0,-4.5,0.0,5.75,0.0,26.2759949492
1980,1,26,15.5,-2.5,0.0,6.5,0.0,33.2852815879
1980,1,27,15.5,-1.5,0.0,7.0,0.0,32.172736009
1980,1,28,13.0,0.0,0.0,6.5,0.0,45.7672621834
1980,1,29,13.0,1.5,2.0,7.25,0.2,51.4018791996
1980,1,30,14.5,5.5,0.0,10.0,0.0,62.4685965941
1980,1,31,13.5,7.0,3.0,10.25,0.3,80.8427335471
1980,2,1,15.5,4.5,0.0,10.0,0.0,52.605133974
1980,2,2,19.5,0.0,0.0,9.75,0.0,30.0864238609
1980,2,3,22.0,1.0,0.0,11.5,0.0,26.7977080321
1980,2,4,23.0,1.0,0.0,12.0,0.0,23.051268806
1980,2,5,22.0,2.5,0.0,12.25,0.0,28.3464342129
1980,2,6,22.0,3.5,0.0,12.75,0.0,30.1797472984
1980,2,7,18.5,1.5,0.0,10.0,0.0,32.8782087338
1980,2,8,11.0,-1.0,16.0,5.0,1.6,59.9400323773
1980,2,9,6.0,-3.5,5.0,1.25,0.5,71.8816934639
1980,2,10,9.5,-4.5,0.0,2.5,0.0,54.8536376657
1980,2,11,13.0,-5.0,0.0,4.0,0.0,39.5250968439
1980,2,12,14.5,-3.5,0.0,5.5,0.0,40.0951902017
1980,2,13,12.5,1.5,10.0,7.0,1.0,68.367064019
1980,2,14,12.0,5.5,38.0,8.75,3.8,82.1984578502
1980,2,15,14.0,6.5,13.0,10.25,1.3,77.6090242052
1980,2,16,13.5,1.5,3.0,7.5,0.3,66.089935082
1980,2,17,14.0,5.0,9.0,9.5,0.9,74.7796505633
1980,2,18,17.5,4.5,0.0,11.0,0.0,64.6211833938
1980,2,19,16.5,7.5,0.0,12.0,0.0,74.9166236196
1980,2,20,14.0,5.0,6.0,9.5,0.6,74.7796505633
1980,2,21,14.0,2.0,0.0,8.0,0.0,67.6549627014
1980,2,22,15.0,2.0,0.0,8.5,0.0,65.4172802788
1980,2,23,17.5,0.0,0.0,8.75,0.0,53.6076899023
1980,2,24,18.0,0.0,0.0,9.0,0.0,52.7176281306
1980,2,25,19.5,0.5,0.0,10.0,0.0,49.3173131006
1980,2,26,21.5,3.0,0.0,12.25,0.0,51.0235815832
1980,2,27,23.0,2.5,0.0,12.75,0.0,46.641427643
1980,2,28,23.0,3.0,0.0,13.0,0.0,48.5876892214
1980,2,29,21.5,4.0,0.0,12.75,0.0,54.8722678153
1980,3,1,18.5,1.0,0.0,9.75,0.0,53.4869757527
1980,3,2,16.5,2.5,0.0,9.5,0.0,61.1833504609
1980,3,3,17.0,4.0,0.0,10.5,0.0,63.6116295249
1980,3,4,16.5,3.5,0.0,10.0,0.0,65.7564174675
1980,3,5,19.5,0.0,0.0,9.75,0.0,46.8011037836
1980,3,6,19.0,2.0,0.0,10.5,0.0,54.0698850961
1980,3,7,17.0,4.5,0.0,10.75,0.0,65.6967735686
1980,3,8,18.5,-0.5,0.0,9.0,0.0,49.2031195886
1980,3,9,18.0,0.0,0.0,9.0,0.0,49.2031195886
1980,3,10,15.0,4.0,0.0,9.5,0.0,67.9815005121
1980,3,11,14.5,4.0,13.0,9.25,1.3,69.1251758684
1980,3,12,15.5,4.0,0.0,9.75,0.0,66.8587196909
1980,3,13,20.0,0.0,0.0,10.0,0.0,46.0294922273
1980,3,14,23.0,2.5,0.0,12.75,0.0,43.8978142523
1980,3,15,21.5,3.0,0.0,12.25,0.0,48.1889381619
1980,3,16,18.0,3.0,0.0,10.5,0.0,57.2504665724
1980,3,17,17.0,0.0,0.0,8.5,0.0,54.5144002323
1980,3,18,20.5,-0.5,0.0,10.0,0.0,42.7416713539
