Year,Month,Day,T_max,T_min,Precip (mm),T_ave,Precip (cm),rh_ave
1980,1,2,17.0,-2.0,0.0,7.5,0.0,19.4382162006
1980,1,3,14.5,-4.0,0.0,5.25,0.0,18.1286298532
1980,1,11,10.5,5.5,5.0,8.0,0.5,86.4480078963
1980,1,12,16.0,2.5,3.0,9.25,0.3,41.475105521
1980,1,13,18.5,3.5,0.0,11.0,0.0,24.6175936738
1980,1,14,20.0,3.5,0.0,11.75,0.0,20.5032061949
1980,1,15,16.5,2.5,5.0,9.5,0.5,37.3898252816
1980,1,16,15.0,0.0,0.0,7.5,0.0,31.101145921
1980,1,17,16.0,-0.5,0.0,7.75,0.0,26.7576699226
1980,1,18,14.5,4.0,0.0,9.25,0.0,44.9313643145
1980,1,19,13.0,2.5,0.0,7.75,0.0,45.8702912958
1980,1,20,12.5,-2.5,0.0,5.0,0.0,32.2754020493
1980,1,21,10.0,1.0,9.0,5.5,0.9,62.3702958694
1980,1,22,7.5,-1.5,4.0,3.0,0.4,68.8577934793
1980,1,23,11.0,-3.0,0.0,4.0,0.0,44.4657339494
1980,1,24,14.0,-3.5,0.0,5.25,0.0,31.7251022431
1980,1,25,15.5,-4.0,0.0,5.75,0.0,30.6553274407
1980,1,26,15.5,-2.5,0.0,6.5,0.0,33.2852815879
1980,1,27,15.0,-1.5,0.0,6.75,0.0,32.7237840728
1980,1,28,13.0,0.0,0.0,6.5,0.0,45.7672621834
1980,1,29,12.5,1.5,3.0,7.0,0.3,60.3238800168
1980,1,30,14.5,5.5,0.0,10.0,0.0,62.4685965941
1980,4,10,26.0,4.5,0.0,15.25,0.0,44.3543863588
1980,4,11,24.0,6.5,0.0,15.25,0.0,53.692151908
1980,4,12,17.5,1.0,0.0,9.25,0.0,55.3001406947
1980,4,13,14.5,-0.5,0.0,7.0,0.0,60.3238800168
1980,4,14,22.0,-0.5,0.0,10.75,0.0,40.6694312568
1980,4,15,26.5,2.5,0.0,14.5,0.0,36.7441439263
1980,4,16,27.0,5.0,0.0,16.0,0.0,42.279634531
1980,4,17,27.5,5.5,0.0,16.5,0.0,40.9563154743
1980,4,18,28.5,8.5,0.0,18.5,0.0,45.6048370869
1980,4,19,30.0,9.0,0.0,19.5,0.0,42.8457710077
1980,4,20,30.0,11.5,0.0,20.75,0.0,49.5677024174
1980,4,21,27.5,12.5,0.0,20.0,0.0,57.1121570904
1980,4,22,25.5,9.0,0.0,17.25,0.0,53.445891198
1980,4,23,21.0,0.5,0.0,10.75,0.0,43.7978490458
1980,4,24,14.0,0.0,0.0,7.0,0.0,60.3238800168
1980,4,25,21.5,3.0,0.0,12.25,0.0,48.1889381619
1980,4,26,25.0,5.0,0.0,15.0,0.0,42.6987023319
1980,4,27,27.0,10.5,0.0,18.75,0.0,52.3798853327
1980,4,28,28.0,6.5,0.0,17.25,0.0,41.1122239985
1980,4,29,25.5,10.0,0.0,17.75,0.0,53.7790329607
1980,4,30,20.0,6.0,3.0,13.0,0.3,62.0842695606
1980,5,1,18.5,6.0,0.0,12.25,0.0,65.1967986897
1980,5,2,23.5,5.0,0.0,14.25,0.0,44.8089687254
1980,5,3,24.5,7.5,0.0,16.0,0.0,48.955366299
1980,5,4,26.5,7.5,0.0,17.0,0.0,43.8554781328
1980,5,5,27.0,8.5,0.0,17.75,0.0,45.8117688184
1980,5,6,27.5,6.5,0.0,17.0,0.0,39.6787659297
1980,5,7,26.5,9.5,0.0,18.0,0.0,49.0186110976
1980,5,8,27.0,9.0,0.0,18.0,0.0,47.0578666537
1980,5,9,26.5,7.0,0.0,16.75,0.0,40.3119290239
1980,5,10,26.0,8.0,0.0,17.0,0.0,41.7671220312
1980,5,11,22.5,8.0,0.0,15.25,0.0,51.3577105207
1980,5,12,22.0,2.5,0.0,12.25,0.0,39.6850078981
1980,5,13,26.5,3.0,0.0,14.75,0.0,31.3369563914
1980,5,14,25.0,9.0,0.0,17.0,0.0,43.8554781328
1980,5,15,22.0,5.5,0.0,13.75,0.0,30.8532858034
1980,5,16,24.0,7.5,0.0,15.75,0.0,22.610008813
1980,5,17,27.5,7.5,0.0,17.5,0.0,18.2109129259
1980,5,18,29.0,9.5,0.0,19.25,0.0,19.9456297884
1980,5,19,30.5,9.0,0.0,19.75,0.0,17.5772089506
1980,5,20,32.5,10.5,0.0,21.5,0.0,18.9332101918
1980,5,21,32.0,10.5,0.0,21.25,0.0,19.2260949658
1980,5,22,29.5,9.5,0.0,19.5,0.0,19.6376450452
1980,5,23,28.0,7.5,0.0,17.75,0.0,17.9263443202
1980,5,24,25.0,8.0,0.0,16.5,0.0,21.5559555128
1980,5,25,24.5,1.5,0.0,13.0,0.0,16.1958964071
1980,5,26,27.0,3.0,0.0,15.0,0.0,16.6050509068
1980,5,27,27.5,7.5,0.0,17.5,0.0,18.2109129259
1980,5,28,27.5,6.5,0.0,17.0,0.0,18.7952049141
1980,5,29,27.5,5.0,0.0,16.25,0.0,17.5209023818
1980,5,30,30.0,6.0,0.0,18.0,0.0,15.6859555512
1980,5,31,29.5,7.0,0.0,18.25,0.0,17.3718869058
1980,6,1,28.0,9.5,0.0,18.75,0.0,20.577812095
1980,6,2,30.0,6.0,0.0,18.0,0.0,15.6859555512
1980,6,3,31.0,7.5,0.0,19.25,0.0,16.319151645
1980,6,4,33.0,8.0,0.0,20.5,0.0,16.7794786246
1980,6,5,33.0,9.5,0.0,21.25,0.0,17.6239203853
1980,6,6,32.5,9.5,0.0,21.0,0.0,17.8970185069
1980,6,7,35.0,10.0,0.0,22.5,0.0,16.3260527038
1980,6,8,36.5,13.0,0.0,24.75,0.0,18.1351467347
1980,6,9,37.5,15.0,0.0,26.25,0.0,18.9500228
1980,6,10,36.0,14.5,0.0,25.25,0.0,18.8570197711
1980,6,11,35.0,11.5,0.0,23.25,0.0,17.0165504478
1980,6,12,35.5,13.0,0.0,24.25,0.0,18.6885706537
1980,6,13,36.5,12.5,0.0,24.5,0.0,17.0945790813
1980,6,14,36.0,14.0,0.0,25.0,0.0,19.1413788551
1980,6,15,36.5,13.5,0.0,25.0,0.0,17.8652869314
1980,6,16,38.0,14.0,0.0,26.0,0.0,18.0317462584
1980,6,17,37.5,16.5,0.0,27.0,0.0,20.3918442118
1980,6,18,37.0,17.0,0.0,27.0,0.0,20.3918442118
1980,6,19,36.5,17.0,0.0,26.75,0.0,20.6957429578
1980,6,20,36.5,16.5,0.0,26.5,0.0,21.004689422
1980,6,21,36.0,16.5,0.0,26.25,0.0,21.31877565
1980,6,22,36.5,15.0,0.0,25.75,0.0,19.5224397615
1980,6,23,36.5,16.0,0.0,26.25,0.0,20.134399225
1980,6,24,36.0,15.0,0.0,25.5,0.0,19.8158408408
1980,6,25,36.5,18.0,0.0,27.25,0.0,22.325447692
1980,6,26,38.5,17.0,0.0,27.75,0.0,19.5095403731
1980,6,27,38.0,19.0,0.0,28.5,0.0,21.7811060922
1980,6,28,39.0,20.5,0.0,29.75,0.0,22.1790236468
1980,6,29,39.0,20.5,0.0,29.75,0.0,22.1790236468
1980,6,30,35.5,17.5,25.0,26.5,2.5,22.1716166121
1980,7,1,31.5,14.5,11.0,23.0,1.1,21.5958250607
1980,7,2,34.0,16.0,0.0,25.0,0.0,21.6935627025
1980,7,3,36.5,16.5,0.0,26.5,0.0,21.004689422
1980,7,4,37.0,17.5,0.0,27.25,0.0,21.2091753074
1980,7,5,36.5,19.0,0.0,27.75,0.0,22.7611304352
1980,7,6,35.0,19.5,0.0,27.25,0.0,24.5579924612
1980,7,7,34.0,16.5,4.0,25.25,0.4,22.6284237254
1980,7,8,35.5,18.5,0.0,27.0,0.0,22.6576046797
1980,7,9,34.0,19.5,0.0,26.75,0.0,25.2947969484
