Year,Month,Day,T_max,T_min,Precip (mm),T_ave,Precip (cm),rh_ave
1980,1,1,19.5,-0.5,0.0,9.5,0.0,16.995375128
1980,1,2,18.5,-1.5,0.0,8.5,0.0,18.1714667441
1980,1,3,17.0,-3.0,0.0,7.0,0.0,16.0863680045
1980,1,4,19.0,-1.5,0.0,8.75,0.0,17.8692299674
1980,1,5,20.5,-3.0,0.0,8.75,0.0,14.2953839739
1980,1,6,19.0,0.5,0.0,9.75,0.0,20.0576159073
1980,1,7,17.0,0.5,0.0,8.75,0.0,21.4430759609
1980,1,8,17.0,3.0,0.0,10.0,0.0,23.0147461136
1980,1,9,15.5,2.5,0.0,9.0,0.0,28.1160683363
1980,1,10,13.5,6.0,7.0,9.75,0.7,63.5157837063
1980,1,11,12.5,7.0,5.0,9.75,0.5,83.5733996136
1980,1,12,18.0,4.5,0.0,11.25,0.0,39.349791951
1980,1,13,20.5,4.5,0.0,12.5,0.0,25.0984543891
1980,1,14,22.0,5.0,0.0,13.5,0.0,23.51770361
1980,1,15,18.5,4.5,5.0,11.5,0.5,35.7302773762
1980,1,16,17.0,1.0,0.0,9.0,0.0,24.6015597943
1980,1,17,18.0,0.5,0.0,9.25,0.0,20.7375527605
1980,1,18,17.0,6.0,2.0,11.5,0.2,38.7078004908
1980,1,19,15.0,4.0,0.0,9.5,0.0,40.7889003072
1980,1,20,14.0,-1.5,2.0,6.25,0.2,29.625264398
1980,1,21,11.5,3.0,7.0,7.25,0.7,67.2178420302
1980,1,22,9.5,0.5,3.0,5.0,0.3,69.1615758199
1980,1,23,13.0,-1.5,0.0,5.75,0.0,39.4139924238
1980,1,24,16.0,-3.0,0.0,6.5,0.0,29.1246213894
1980,1,25,17.5,-3.0,0.0,7.25,0.0,27.6779349536
1980,1,26,18.0,-1.5,0.0,8.25,0.0,29.566986396
1980,1,27,18.0,0.5,0.0,9.25,0.0,31.1063291408
1980,1,28,15.5,2.5,0.0,9.0,0.0,42.1741025045
1980,1,29,15.0,3.5,4.0,9.25,0.4,58.7563994881
1980,1,30,17.0,8.0,3.0,12.5,0.3,72.5066460131
1980,1,31,17.0,9.0,3.0,13.0,0.3,78.2801659678
1980,2,1,19.0,7.0,0.0,13.0,0.0,51.2870052892
1980,2,2,22.0,2.0,0.0,12.0,0.0,31.6954946083
1980,2,3,25.0,2.0,0.0,13.5,0.0,26.1307817889
1980,2,4,25.0,2.5,0.0,13.75,0.0,25.7110715029
1980,2,5,24.5,3.0,0.0,13.75,0.0,25.7110715029
1980,2,6,24.5,5.0,0.0,14.75,0.0,28.9264212844
1980,2,7,20.5,3.0,0.0,11.75,0.0,35.1483534769
1980,2,8,13.0,1.0,17.0,7.0,1.7,60.3238800168
1980,2,9,8.5,-0.5,5.0,4.0,0.5,74.1095565824
1980,2,10,12.0,-1.5,0.0,5.25,0.0,54.3858895597
1980,2,11,15.5,-2.5,0.0,6.5,0.0,41.6066019849
1980,2,12,17.0,-1.5,0.0,7.75,0.0,42.0477670212
1980,2,13,15.0,4.5,9.0,9.75,0.9,70.2016556754
1980,2,14,14.5,7.5,37.0,11.0,3.7,80.0071794399
1980,2,15,16.0,8.5,14.0,12.25,1.4,79.3700157961
1980,2,16,15.5,3.0,2.0,9.25,0.2,65.668917075
1980,2,17,16.0,6.5,10.0,11.25,1.0,72.6457697556
1980,2,18,18.5,6.5,2.0,12.5,0.2,66.9292117044
1980,2,19,18.5,9.5,0.0,14.0,0.0,75.896448675
1980,2,20,16.5,7.0,6.0,11.75,0.6,73.2257364103
1980,2,21,15.5,4.5,0.0,10.0,0.0,69.0442383409
1980,2,22,17.0,3.0,0.0,10.0,0.0,62.4685965941
1980,2,23,19.0,1.5,0.0,10.25,0.0,54.973058812
1980,2,24,20.5,1.0,0.0,10.75,0.0,50.0546846237
1980,2,25,22.0,1.5,0.0,11.75,0.0,49.793500759
1980,2,26,24.5,4.0,0.0,14.25,0.0,49.7877430282
1980,2,27,26.0,4.0,0.0,15.0,0.0,45.0708524614
1980,2,28,25.5,4.5,0.0,15.0,0.0,47.443002591
1980,2,29,23.5,5.0,0.0,14.25,0.0,52.2771301796
1980,3,1,21.5,3.0,0.0,12.25,0.0,53.8582250045
1980,3,2,20.5,6.0,0.0,13.25,0.0,61.0836176163
1980,3,3,19.5,7.0,0.0,13.25,0.0,66.3952365394
1980,3,4,18.0,5.0,8.0,11.5,0.8,65.505508523
1980,3,5,21.5,1.5,0.0,11.5,0.0,50.6178929496
1980,3,6,21.0,3.5,0.0,12.25,0.0,56.6928684258
1980,3,7,18.5,6.5,4.0,12.5,0.4,66.9292117044
1980,3,8,20.0,1.0,0.0,10.5,0.0,50.8893036199
1980,3,9,20.0,2.0,0.0,11.0,0.0,55.3895857661
1980,3,10,17.0,6.5,0.0,11.75,0.0,70.2967069538
1980,3,11,16.0,6.5,12.0,11.25,1.2,72.6457697556
1980,3,12,17.5,5.5,0.0,11.5,0.0,68.4830316376
1980,3,13,22.0,1.0,0.0,11.5,0.0,47.6403698349
1980,3,14,25.0,4.0,0.0,14.5,0.0,46.5425823067
