Year,Month,Day,T_max,T_min,Precip (mm),T_ave,Precip (cm),rh_ave
1980,1,1,19.0,-0.5,0.0,9.25,0.0,17.2812939671
1980,1,2,18.0,-1.5,0.0,8.25,0.0,18.4793664975
1980,1,3,16.5,-3.0,0.0,6.75,0.0,16.3618920364
1980,1,4,19.0,-1.5,0.0,8.75,0.0,17.8692299674
1980,1,5,20.0,-2.5,0.0,8.75,0.0,14.2953839739
1980,1,6,18.5,0.0,0.0,9.25,0.0,17.2812939671
1980,1,7,16.5,0.5,0.0,8.5,0.0,21.8057600929
1980,1,8,16.5,3.0,0.0,9.75,0.0,26.7434878764
1980,1,9,15.0,2.5,0.0,8.75,0.0,28.5907679479
1980,1,10,13.5,5.5,7.0,9.5,0.7,61.1833504609
1980,1,11,12.0,6.5,5.0,9.25,0.5,82.9502110421
1980,1,12,17.5,4.5,0.0,11.0,0.0,40.00358972
1980,1,13,20.0,4.5,0.0,12.25,0.0,25.5117907916
1980,1,14,21.5,5.0,0.0,13.25,0.0,23.9022851542
1980,1,15,18.0,4.0,5.0,11.0,0.5,36.9263905107
1980,1,16,17.0,1.0,0.0,9.0,0.0,24.6015597943
1980,1,17,17.5,0.0,0.0,8.75,0.0,21.4430759609
1980,1,18,16.5,6.0,3.0,11.25,0.3,51.4574202436
1980,1,19,14.5,3.5,0.0,9.0,0.0,42.1741025045
1980,1,20,14.0,-1.5,2.0,6.25,0.2,29.625264398
1980,1,21,11.0,3.0,7.0,7.0,0.7,72.3886560202
1980,1,22,9.5,0.0,3.0,4.75,0.3,70.3634224678
1980,1,23,12.5,-1.5,0.0,5.5,0.0,44.5502113353
1980,1,24,16.0,-3.0,0.0,6.5,0.0,29.1246213894
1980,1,25,17.5,-3.0,0.0,7.25,0.0,27.6779349536
1980,1,26,17.5,-1.5,0.0,8.0,0.0,30.0688723118
1980,1,27,17.5,0.5,0.0,9.0,0.0,35.1450854204
1980,1,28,15.0,2.0,0.0,8.5,0.0,43.6115201859
1980,1,29,14.5,3.5,4.0,9.0,0.4,59.7466452147
1980,1,30,16.5,7.5,3.0,12.0,0.3,72.0352150188
1980,1,31,16.5,8.5,3.0,12.5,0.3,78.0840803218
1980,2,1,18.5,6.5,0.0,12.5,0.0,52.9856259326
1980,2,2,21.5,2.0,0.0,11.75,0.0,32.2193240205
1980,2,3,24.5,2.0,0.0,13.25,0.0,26.5580946158
1980,2,4,24.5,2.5,0.0,13.5,0.0,26.1307817889
1980,2,5,24.0,3.0,0.0,13.5,0.0,28.7438599678
1980,2,6,24.0,5.0,0.0,14.5,0.0,31.8449247362
1980,2,7,20.5,3.0,0.0,11.75,0.0,35.1483534769
1980,2,8,13.0,1.0,17.0,7.0,1.7,60.3238800168
1980,2,9,8.5,-1.0,5.0,3.75,0.5,70.3796675401
1980,2,10,12.0,-1.5,0.0,5.25,0.0,58.918047023
1980,2,11,15.0,-2.5,0.0,6.25,0.0,46.5539869111
1980,2,12,16.5,-1.5,0.0,7.5,0.0,42.7640756413
1980,2,13,15.0,4.0,10.0,9.5,1.0,67.9815005121
1980,2,14,14.0,7.5,38.0,10.75,3.8,81.3388625135
1980,2,15,15.5,8.5,14.0,12.0,1.4,80.6794408211
1980,2,16,15.5,3.0,3.0,9.25,0.3,65.668917075
1980,2,17,15.5,6.5,10.0,11.0,1.0,73.8527810215
1980,2,18,18.0,6.0,2.0,12.0,0.2,66.2723978173
1980,2,19,18.0,9.0,0.0,13.5,0.0,75.7792671878
1980,2,20,16.0,6.5,6.0,11.25,0.6,72.6457697556
1980,2,21,15.5,4.0,0.0,9.75,0.0,66.8587196909
1980,2,22,17.0,3.0,0.0,10.0,0.0,62.4685965941
1980,2,23,19.0,1.5,0.0,10.25,0.0,54.973058812
1980,2,24,20.0,1.0,0.0,10.5,0.0,50.8893036199
1980,2,25,22.0,1.5,0.0,11.75,0.0,49.793500759
1980,2,26,24.5,4.0,0.0,14.25,0.0,49.7877430282
1980,2,27,25.5,4.0,0.0,14.75,0.0,48.2107021407
1980,2,28,25.5,4.5,0.0,15.0,0.0,47.443002591
1980,2,29,23.0,5.0,0.0,14.0,0.0,55.657395695
1980,3,1,21.0,2.5,0.0,11.75,0.0,52.7225302154
1980,3,2,20.0,5.5,0.0,12.75,0.0,63.1031079876
1980,3,3,19.0,7.0,0.0,13.0,0.0,67.4829016964
1980,3,4,17.5,4.5,8.0,11.0,0.8,64.6211833938
1980,3,5,21.0,1.5,0.0,11.25,0.0,51.4574202436
1980,3,6,21.0,3.5,0.0,12.25,0.0,56.6928684258
1980,3,7,18.5,6.5,4.0,12.5,0.4,66.9292117044
1980,3,8,20.0,1.0,0.0,10.5,0.0,50.8893036199
1980,3,9,19.5,1.5,0.0,10.5,0.0,54.0698850961
1980,3,10,17.0,6.0,0.0,11.5,0.0,68.4830316376
1980,3,11,15.5,6.0,13.0,10.75,1.3,71.9536091466
1980,3,12,17.5,5.0,0.0,11.25,0.0,66.5919556093
1980,3,13,22.0,1.0,0.0,11.5,0.0,47.6403698349
1980,3,14,24.5,4.0,0.0,14.25,0.0,49.7877430282
1980,3,15,22.5,4.5,0.0,13.5,0.0,54.8746417567
1980,3,16,20.0,4.0,0.0,12.0,0.0,57.628172015
1980,3,17,19.0,1.0,0.0,10.0,0.0,52.605133974
1980,3,18,22.5,2.0,0.0,12.25,0.0,48.1889381619
1980,3,19,18.5,3.5,4.0,11.0,0.4,61.5439841845
1980,3,20,18.5,-1.5,0.0,8.5,0.0,50.8801068835
1980,3,21,22.5,1.5,0.0,12.0,0.0,48.9839462128
1980,3,22,20.0,4.5,0.0,12.25,0.0,59.5275118471
1980,3,23,16.5,1.5,0.0,9.0,0.0,59.7466452147
1980,3,24,18.5,0.5,0.0,9.5,0.0,54.3852004097
1980,3,25,18.5,3.0,0.0,10.75,0.0,59.4399379907
1980,3,26,16.0,2.5,1.0,9.25,0.1,62.2126582816
1980,3,27,14.0,2.0,12.0,8.0,1.2,67.6549627014
1980,3,28,14.5,1.0,0.0,7.75,0.0,61.1603883944
1980,3,29,17.5,-1.5,0.0,8.0,0.0,52.6205265456
1980,3,30,21.5,-0.5,0.0,10.5,0.0,44.5281406674
1980,3,31,19.0,4.5,0.0,11.75,0.0,61.5096185846
1980,4,1,21.0,0.0,0.0,10.5,0.0,47.7087221436
1980,4,2,18.5,1.0,0.0,9.75,0.0,53.4869757527
1980,4,3,20.5,-0.5,0.0,10.0,0.0,46.0294922273
1980,4,4,25.5,3.0,0.0,14.25,0.0,44.8089687254
1980,4,5,24.5,4.0,0.0,14.25,0.0,47.2983558768
1980,4,6,24.0,4.0,0.0,14.0,0.0,50.59763245
1980,4,7,24.5,5.5,0.0,15.0,0.0,52.1873028501
1980,4,8,27.0,3.5,0.0,15.25,0.0,42.0199449715
1980,4,9,28.5,4.5,0.0,16.5,0.0,40.9563154743
1980,4,10,27.5,5.5,0.0,16.5,0.0,45.2675065769
1980,4,11,25.5,7.0,0.0,16.25,0.0,52.5627071453
1980,4,12,19.5,2.5,0.0,11.0,0.0,55.3895857661
1980,4,13,17.5,2.5,0.0,10.0,0.0,59.1807757208
1980,4,14,23.5,0.5,0.0,12.0,0.0,40.3397204105
1980,4,15,28.0,3.5,0.0,15.75,0.0,38.4370149821
1980,4,16,29.0,6.0,0.0,17.5,0.0,40.4686953908
1980,4,17,30.0,6.5,0.0,18.25,0.0,40.5344027803
1980,4,18,31.0,10.0,0.0,20.5,0.0,45.3045922864
1980,4,19,32.5,11.0,0.0,21.75,0.0,43.5056362246
1980,4,20,32.0,13.0,0.0,22.5,0.0,48.9781581113
1980,4,21,29.5,14.0,0.0,21.75,0.0,57.4895907253
1980,4,22,27.0,10.0,0.0,18.5,0.0,53.2056432681
1980,4,23,21.5,1.5,0.0,11.5,0.0,44.6628467202
1980,4,24,15.5,1.0,0.0,8.25,0.0,59.1339727919
1980,4,25,23.0,4.0,0.0,13.5,0.0,47.03540722
1980,4,26,27.0,6.5,0.0,16.75,0.0,44.5552899738
1980,4,27,29.5,11.5,0.0,20.5,0.0,50.3384358737
1980,4,28,30.0,7.5,0.0,18.75,0.0,39.2849139995
1980,4,29,27.0,11.5,0.0,19.25,0.0,56.2104112218
1980,4,30,20.5,7.0,4.0,13.75,0.4,64.2776787571
1980,5,1,21.5,7.5,0.0,14.5,0.0,61.2402398772
1980,5,2,26.0,7.0,0.0,16.5,0.0,45.2675065769
1980,5,3,27.0,8.5,0.0,17.75,0.0,45.8117688184
1980,5,4,29.0,9.0,0.0,19.0,0.0,42.3596950783
1980,5,5,29.5,10.0,0.0,19.75,0.0,43.9430223765
1980,5,6,29.5,8.5,0.0,19.0,0.0,40.5179692053
1980,5,7,28.5,11.5,0.0,20.0,0.0,50.1894713825
1980,5,8,29.0,10.5,0.0,19.75,0.0,45.7007432716
1980,5,9,28.5,8.0,0.0,18.25,0.0,38.6041931241
1980,5,10,28.0,9.0,0.0,18.5,0.0,39.9042324511
1980,5,11,24.5,8.5,0.0,16.5,0.0,47.4231021282
1980,5,12,23.5,4.0,0.0,13.75,0.0,38.5666072543
1980,5,13,28.0,4.5,0.0,16.25,0.0,32.8516919658
1980,5,14,26.5,9.5,0.0,18.0,0.0,43.1363777659
1980,5,15,24.0,7.0,0.0,15.5,0.0,32.1635423342
1980,5,16,26.0,8.5,0.0,17.25,0.0,24.6673343991
1980,5,17,29.0,9.0,0.0,19.0,0.0,18.4172587297
